Cleaned_Comment,Emoji_Sentiment_Score,Text_Sentiment,Text_Sentiment_Score,Final_Sentiment
they really out here making grocer store stereotyped 😂😂,0.221,Positive,0.5574,Positive
i hurt all over watching him destroy that court😭,-0.093,Negative,-0.875,Negative
ll the check guy😂😂,0.221,Positive,0.7003,Positive
who is here before 2 million views🙋🙋,0.485,Positive,0.7506,Positive
your best sterno type is the rage monster it is very funny  but destructive😤,-0.209,Negative,-0.6704,Negative
how does in all of the video so clean ,0.0,Positive,0.541,Positive
i am the freeze freakout😩,-0.368,Negative,-0.5719,Negative
i am definitely mr careless and mr expiration 😀,0.568,Positive,0.4019,Positive
What a terrible way to waste money 🤦‍♂️💸  ,0.142,Negative,-0.7096,Negative
"This app is useless as fuck, does nothing right 📱💩  ",0.096,Negative,-0.743,Negative
me when my mon tells me to go get the shopping cart  a he,0.0,Neutral,0.0,Neutral
dudeperfect i am fan you  i love you so much i am furnish from kurdistan  ambition my it is go as for us please dudeperfect i want see you 😭 i am again,-0.093,Positive,0.7184,Positive
2018 any one 😂😂😂probably,0.221,Positive,0.5994,Positive
relics keeps i hope your enjoying 2019 and if you could help me get k on may channel ill love you forever 😀😀😀,0.568,Positive,0.9509,Positive
can everyone here please help me get to k it will be a blessing please help me achieve my goal🙏🙏,0.417,Positive,0.9042,Positive
a he there is a milk in the gum section 😂,0.221,Positive,0.4404,Positive
so like are you guns just going to pay someone to fix the court 😂,0.221,Positive,0.6478,Positive
before ask views who else,0.0,Neutral,0.0,Neutral
you should do camping  stereotyped,0.0,Negative,-0.296,Negative
the rage monster never disappoints and the checkout line abort that is me all day 😂,0.221,Positive,0.124,Positive
"Fucking joke of a support team, completely useless ☎️😡  ",-0.0865,Positive,0.2732,Positive
"Fucking worst user interface ever, hard to navigate 📱🤬  ",0.308,Negative,-0.6997,Negative
i am the one trip master and sadly the cart rider ,0.0,Negative,-0.4215,Negative
produce inspector in corona🙁,0.0,Negative,-0.2748,Negative
they better hope they make enough money to fix that court😐😑,-0.3495,Positive,0.7003,Positive
cody went to pan due and went whaatssstss thissss 😂😂,0.221,Positive,0.7003,Positive
why waiting food  and destroying  some people do not even have  food,0.0,Negative,-0.5574,Negative
i feel bad for the guy that has to clean the grm 😔,-0.146,Negative,-0.128,Negative
oh dear god item mr expiration date 😬,0.194,Positive,0.3182,Positive
😂,0.221,Positive,0.4404,Positive
seeing a perfectly good basketball court getting destroyed 🙃🙃🙃🙃,0.0,Positive,0.5994,Positive
Why the fuck is this movie so overrated? It’s complete garbage 🎥💀  ,0.0414999999999999,Negative,-0.5423,Negative
😂😂😂😂😂😂😂😆😆😆😆😆😅,0.29,Positive,0.9853,Positive
life lesson do not forget types tapioca pudding,0.0,Positive,0.1695,Positive
i could watch your stereotyped all day😂,0.221,Positive,0.1779,Positive
a he when you come in and place in fortunate😂😂,0.221,Positive,0.8271,Positive
the sound of the eggs dropping was so satisfying 😂😂 ll,0.221,Positive,0.8647,Positive
hahahahahahahah this is honestly so left 😂😂,0.221,Positive,0.8316,Positive
whoever disliked the due perfect  ,0.0,Positive,0.25,Positive
what about the giveaway 😅😰,0.079,Positive,0.128,Positive
i feel bad for the court ll 😋,0.631,Negative,-0.5423,Negative
funny 😄,0.421,Positive,0.8126,Positive
😂,0.221,Positive,0.4404,Positive
due perfect stereotyped please🙏🙏🙏,0.417,Positive,0.5859,Positive
a he is hilarious😂,0.221,Positive,0.6808,Positive
you should do a water park stereotyped br,0.0,Negative,-0.296,Negative
hi funny😄and i love,0.421,Positive,0.9118,Positive
all those money that just just fly away why do you do that why 😭 i mean the rage monster,-0.093,Negative,-0.7717,Negative
i was waiting for a stereotyped video here it thanks up,0.0,Positive,0.1779,Positive
he got mad because he didn39t have tapioca pudding   i have no idea what that is😕,-0.397,Negative,-0.7717,Negative
please like my comment😥😥,0.122,Positive,0.4588,Positive
me😂😂😂😂😂😂😂😂😂😂😂😂,0.221,Positive,0.9859,Positive
"This overpriced junk is fucking useless, don’t waste your money 💸💀  ",-0.0239999999999999,Negative,-0.7316,Negative
the careless guy was so me 😂😂,0.221,Positive,0.5106,Positive
a he i wonder how long the guns are going to fix that basketball court that ty destroyed 😂,0.221,Positive,0.3182,Positive
why the court though 😭😭,-0.093,Negative,-0.7351,Negative
the careless due that39s so me😂,0.221,Positive,0.1027,Positive
1 like prayer for the basketball court😭😢,-0.043,Negative,-0.5719,Negative
early for every like i will add a  how many can we get ,0.0,Positive,0.3612,Positive
item the one trip master😂,0.221,Positive,0.4404,Positive
please dont waste food 😤,-0.209,Positive,0.5621,Positive
a he he,0.0,Neutral,0.0,Neutral
i am the lost guy all the time 😂,0.221,Positive,0.1531,Positive
not the basketball court 😭😭😭,-0.093,Negative,-0.8519,Negative
when your so flush with cash that you can destroy your own personalised basketball court because you know you can just get it fixed and put back to new the next day ,0.0,Negative,-0.5423,Negative
item totally the mr careless guy,0.0,Negative,-0.4144,Negative
when they were planning on lipping out the court anyway 😂,0.221,Positive,0.4404,Positive
the cold aisle in a normal grocer store has got nothing compared to the dairy section at costo ,0.0,Neutral,0.0,Neutral
"This remix is garbage, the original was way better 🎶🤮  ",0.537,Positive,0.6369,Positive
are not we all the sample thieves 😂,0.221,Negative,-0.1027,Neutral
a he are you ok 😂😂😂,0.221,Positive,0.872,Positive
i love this video      its so funny        my dad is the coroner    😂😂😂😂😂😂😂😂😂😂😂,0.221,Positive,0.9897,Positive
i love you are video 😀😀😀😀😀😀😀😀😃,0.5667777777777778,Positive,0.9741,Positive
a he 😂thanks for reminding my past,0.221,Negative,-0.2263,Negative
like how much money they spend on rage monster br,0.0,Negative,-0.2732,Negative
hhhhhhh😱😱,0.19,Negative,-0.891,Negative
rage monster is the best 😂😂😂,0.221,Positive,0.8519,Positive
never forget types tapioca pudding he will destroy your baaketball court 😂,0.221,Neutral,0.017,Positive
easily the best one 😂😨😂,0.1006666666666666,Positive,0.8481,Positive
the rage monster is my favorite 😂😂😂😂,0.221,Positive,0.875,Positive
tyler come on due,0.0,Neutral,0.0,Neutral
at 56 how garrett says no had me dead 😂😂😂😂😂😂,0.221,Positive,0.872,Positive
the rage monster so nice ,0.0,Negative,-0.1298,Negative
i am the produce inspector 😂 i am also the ms expiration date and the freeze freakoutbrbrbrpoor products such a wastebrbrthere are kiss starving out there,0.221,Positive,0.4767,Positive
mummy food ,0.0,Neutral,0.0,Neutral
due perfect you guns are awesome but please stop wasting too much stuff especially tables 😕😊,0.1235,Positive,0.7296,Positive
"Fucking useless feature, nobody fucking asked for this 🔄💀  ",-0.1035,Negative,-0.4754,Negative
a he is me😂😂😂,0.221,Positive,0.8271,Positive
the game is destroy a he,0.0,Negative,-0.5423,Negative
love😀😁,0.5085,Positive,0.8658,Positive
a he tis name is chuck😂,0.221,Positive,0.4404,Positive
brbrbrbrbrbrfind the elephant if you do like this comment ll ply,0.0,Positive,0.3612,Positive
very very good ,0.0,Positive,0.5379,Positive
😄😄😄😄😄😄😀😀😀😀😀,0.4878181818181817,Positive,0.9909,Positive
i came home from school and saw that there was a new due perfect episode ,0.0,Positive,0.5719,Positive
my dad is mr expiration date😞😞😞😂,-0.0332499999999999,Negative,-0.7506,Negative
i feel so bad for all of you because you just bought that place not to long ago 😐 i mean you could hear codes emotions,-0.388,Negative,-0.6696,Negative
who else is here to watch the rage monster,0.0,Negative,-0.5574,Negative
can you do fall stereotyped,0.0,Negative,-0.296,Negative
  br    br ,0.0,Neutral,0.0,Neutral
barber stereotyped could be really good  keep up the good work,0.0,Positive,0.5984,Positive
Who the fuck edited this video? It’s choppy as hell 🎬💀  ,0.036,Negative,-0.8442,Negative
a he looking for someone ty,0.0,Positive,0.3818,Positive
the rage monster returned 😂,0.221,Negative,-0.1779,Negative
its so funny how in the first skin they all pretends they dont each other and it works so well even though they are all brows ,0.0,Positive,0.6741,Positive
the best brdpbri39m from egypt,0.0,Positive,0.6369,Positive
do halloween  stereotyped halloween is my birthday,0.0,Negative,-0.296,Negative
use this comment as the like button ,0.0,Positive,0.3612,Positive
rage monster was the best,0.0,Positive,0.1531,Positive
i39ve watched this video way too much 😂,0.221,Positive,0.4404,Positive
org best video ever may 😂,0.221,Positive,0.7964,Positive
i am surprised the produce checked did not slap any watermelons😂😂,0.221,Positive,0.7396,Positive
isle blockade is quarante 🙄,0.0,Neutral,0.0,Neutral
please do trick shot stereotyped,0.0,Neutral,-0.0258,Neutral
"This game server is always down, useless 🎮🚫  ",-0.0065,Negative,-0.4215,Negative
i am totally the one trip guy brim love due perfect keep up the stereotyped video love them 😃😂🙃😆😁😺😸,0.4068333333333334,Positive,0.9814,Positive
a he that would be so bad if the cameraman didn39t hit the record button 😂,0.221,Negative,-0.38,Negative
😁,0.449,Positive,0.4588,Positive
i am the sample thief cart probe cart rider and produce inspector 😂,0.221,Negative,-0.128,Neutral
they should make a compilation of all the times ty was the rage monster 😂,0.221,Positive,0.2263,Positive
can you do more overcome video you guns are amazing 😋,0.631,Positive,0.5859,Positive
all the stereotyped video are always so funny and make me so fucking happy😂😂,0.221,Positive,0.912,Positive
roll 😂😂 rage guy😂😂😂😂,0.221,Positive,0.9153,Positive
a he ty doesn39t see the empty cart on his right 😂,0.221,Positive,0.5719,Positive
how are you going to fix the court org that was pure rage monster😦😦,-0.368,Negative,-0.8126,Negative
who is not a cart rider 😂,0.221,Positive,0.4404,Positive
i think we need some more stereotyped ever since you stopped them your show has not been the same i love you guns and all the stereotyped you do hope to see some more in the future,0.0,Positive,0.3626,Positive
r in basketball court ,0.0,Neutral,0.0,Neutral
do a halloween stereotyped ,0.0,Negative,-0.296,Negative
the rage monster is back😀,0.568,Negative,-0.2732,Negative
he wreck the court😂,0.221,Neutral,0.0,Positive
the rage monster😂,0.221,Negative,-0.1779,Negative
😂😂😂😂😂😂😂😂😂😂😂,0.221,Positive,0.9833,Positive
you or the be,0.0,Neutral,0.0,Neutral
😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😸😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺😺 leave a like if you found the difference and subscribe,0.3953061224489793,Positive,0.9987,Positive
now awesome job guns lived all your video and editing keep it up i know you will soon be the number 1 youtuber in the world ,0.0,Positive,0.6597,Positive
rage monster so true😂,0.221,Positive,0.3384,Positive
i cut this court in half and repaired using only flex tape😂😂😂,0.221,Positive,0.765,Positive
rage monster is the best ll 😂😂😂,0.221,Positive,0.8519,Positive
its so funny that they used walkietalkies at palmar😊😊😊😊😊😊,0.644,Positive,0.9892,Positive
 monster,0.0,Neutral,0.0,Neutral
rip court😞🙏 why they destroy it,0.1495,Negative,-0.765,Negative
why the basket ball court 😭😭,-0.093,Negative,-0.7351,Negative
"This new show is absolute bullshit, can't believe this aired 📺🤮  ",0.375,Negative,-0.5859,Negative
oh note basketball court 😫,-0.145,Negative,-0.4404,Negative
that is a lot of wasted produce 😑😑😑😑,-0.311,Negative,-0.4939,Negative
dont you by thinkthat you have wasted the food 😔,-0.146,Negative,-0.4404,Negative
thinks that they wanted to red the basketball court anywaysbrdrills through the floor 😳😅😂,0.1389999999999999,Positive,0.6597,Positive
"What a fucking joke, I can’t believe people pay for this shit 💰🤡",0.251,Negative,-0.3626,Negative
i am the produce inspector,0.0,Neutral,0.0,Neutral
a he this made me laugh so much 😂,0.221,Positive,0.7579,Positive
the rage monster failed it this time ,0.0,Negative,-0.7845,Negative
"This video is straight up bullshit, nothing but lies 📹🤬  ",0.429,Positive,0.2612,Positive
a he maybe if he had used flex tape 😞,-0.118,Negative,-0.4767,Negative
23 minutes ago and already more than 5000 views that39s due perfect logic😂,0.221,Positive,0.765,Positive
something tells me they are doing to basketball court 😂,0.221,Positive,0.4404,Positive
range monster always good,0.0,Positive,0.4404,Positive
well they were obviously planning on doing the court anywaybrbrbrbrbrright 😐,-0.388,Positive,0.2732,Positive
who is and,0.0,Neutral,0.0,Neutral
smoke a blunt get high then watch this again😂,0.221,Positive,0.4404,Positive
mr too many items so fun ,0.0,Positive,0.6418,Positive
his face when he squished the avocado 😅😅😅,0.178,Positive,0.7579,Positive
i hope those foods were expired 😂😂,0.221,Positive,0.8271,Positive
press quotfquot to pay respects for the basketball court 😔,-0.146,Positive,0.296,Positive
the grm floor😱,0.19,Negative,-0.7003,Negative
rage monster had me crying😭,-0.093,Negative,-0.8689,Negative
a he how do you guns to clean😂😂,0.221,Positive,0.8176,Positive
a he my dad and i whenever we go shopping 😂😂😂,0.221,Positive,0.8271,Positive
a he i laugh at this one 😂😂,0.221,Positive,0.8555,Positive
for every like ill put a br,0.0,Negative,-0.0772,Negative
you destroyed your wooden basketball court😱,0.19,Negative,-0.8402,Negative
i am the cart  rider,0.0,Neutral,0.0,Neutral
rage monster is the best😁,0.449,Positive,0.5574,Positive
org so many of these stereotyped are my family 😂,0.221,Positive,0.1779,Positive
how much money toothed spend on rage monster hata😂😂,0.221,Positive,0.296,Positive
best one yet 😂,0.221,Positive,0.7964,Positive
"Fucking terrible pacing in this movie, felt like torture 🎬🤬  ",0.279,Negative,-0.6997,Negative
😂😂😂😂😂😂😂😂😂😂😂😂,0.221,Positive,0.9859,Positive
it was awesome 😘😘😂😂 isn39t it 😀😀beloved it ,0.4966666666666666,Positive,0.9612,Positive
this was filled at an he item so proud 😄,0.421,Positive,0.868,Positive
due perfect is bosom😎😯,0.307,Positive,0.7717,Positive
what about that person who comes out of the grocer store and heads afraid to be accused of theft because he didn39t buy anything 😅,0.178,Positive,0.0772,Positive
a he got me dead 😂,0.221,Negative,-0.34,Negative
a he ,0.0,Neutral,0.0,Neutral
in france its 100 am 😅,0.178,Positive,0.3612,Positive
rage monster to far 😱😱😱😱😱😱😱😱😱😱😱,0.1899999999999999,Negative,-0.9962,Negative
the most expensive rage monster😂😅,0.1995,Positive,0.1335,Positive
he represent ,0.0,Neutral,0.0,Neutral
i am short line analyst the quicker you get out the quicker you can get back home ll 😂😂😂,0.221,Positive,0.8271,Positive
school stereotyped world series stereotyped world cup stereotyped bifida stereotyped airplane stereotyped party stereotyped brand doctors office stereotyped  you guns,0.0,Negative,-0.8658,Negative
rage monster 😅😅😅,0.178,Positive,0.4404,Positive
what did that court do to have that happen to it did it say come on rage monster come at me 😂,0.221,Negative,-0.1779,Negative
who is watching this in 2020 and feeling jealous that they do not have to wear mass 😷,-0.169,Negative,-0.3612,Negative
what the freak happened why did you do that the court is ruined 😩 ,-0.368,Negative,-0.7964,Negative
  😁,0.449,Positive,0.4588,Positive
a he utf 😂,0.221,Positive,0.4404,Positive
br,0.0,Neutral,0.0,Neutral
brat   him you want my dont,0.0,Positive,0.0772,Positive
br,0.0,Neutral,0.0,Neutral
br ,0.0,Neutral,0.0,Neutral
belt  no my dont,0.0,Negative,-0.296,Negative
br,0.0,Neutral,0.0,Neutral
br  ,0.0,Neutral,0.0,Neutral
br just bidding you can have my dont ,0.0,Neutral,0.0,Neutral
br,0.0,Neutral,0.0,Neutral
br  ,0.0,Neutral,0.0,Neutral
br it but just a bite,0.0,Neutral,0.0,Neutral
br,0.0,Neutral,0.0,Neutral
br ,0.0,Neutral,0.0,Neutral
belt,0.0,Neutral,0.0,Neutral
no  your bite much no more dont biting privileges,0.0,Negative,-0.7048,Negative
i love the rage monster 😍😍😍😍😍😍😍😍😍😍😍😍😍,0.6780000000000002,Positive,0.9896,Positive
love your stereotyped😍😍😍,0.678,Positive,0.9001,Positive
i was wondering when we were going to get another stereotyped video  😂,0.221,Positive,0.1779,Positive
 😲😲😭😭😮😮😶😫😫,-0.0239999999999999,Negative,-0.3599,Negative
hi i love  you are video and do not let ty win again,0.0,Neutral,-0.0145,Neutral
this is how much they spent on the rage monster,0.0,Negative,-0.5574,Negative
hey brow the rage monster broke your basket ball floor 😲,-0.068,Negative,-0.5859,Negative
rage monster level up,0.0,Negative,-0.5574,Negative
"The animation in this show is ugly as hell, lazy as fuck 🎨🤬  ",0.167,Negative,-0.9313,Negative
may finally a new stereotyped i am so happy 😁,0.449,Positive,0.7609,Positive
now did they really destroy their own basketball court 😂,0.221,Negative,-0.2247,Negative
the cart rider is me😅😅,0.178,Positive,0.6124,Positive
you guns are the boom ,0.0,Neutral,0.0,Neutral
"This software crashes every five minutes, annoying 💻😡  ",0.0385,Negative,-0.4019,Negative
i can say this is true because i work at a grocer store 😂,0.221,Positive,0.6908,Positive
halloween stereotyped nextbrbrbrlike if agree,0.0,Positive,0.0772,Positive
"This trailer was misleading as fuck, false advertising 🎬🤡",0.279,Negative,-0.7351,Negative
"These ads are annoying as hell, fuck off already 📢😡  ",0.124,Negative,-0.8957,Negative
your next stereotyped should be about basketball ,0.0,Negative,-0.296,Negative
perfect ,0.0,Positive,0.5719,Positive
for every like ill add an avocadobr,0.0,Negative,-0.0772,Negative
its hebtexas grocer store,0.0,Neutral,0.0,Neutral
did you fix the court,0.0,Neutral,0.0,Neutral
my have couture channel  always killing it ,0.0,Negative,-0.6597,Negative
who39s reaching during quarante brbrbrbr because there bored 😐,-0.388,Negative,-0.0772,Negative
great did could not stop laughing 😂 especially the rage one,0.221,Positive,0.336,Positive
😇😇😇        bear    😏😏😏😏😏,0.4276249999999999,Positive,0.8402,Positive
due perfect do a halloween stereotyped ,0.0,Positive,0.3612,Positive
ha ha the hungry guy😂😂😂😂😂😂😂😂😂,0.221,Positive,0.9816,Positive
ty those ultraboosts are ,0.0,Positive,0.3818,Positive
who were waiting for rage monster 😠😡😂😈brand who is waiting for halloween stereotyped 😱😀,0.1286666666666666,Negative,-0.7579,Negative
you guns are cool 😎 could you possibly do a sleepoverstereotypes,0.491,Positive,0.6486,Positive
😂😂😂😇😇,0.3674,Positive,0.9287,Positive
hope they getting a new basketball court 😂,0.221,Positive,0.7003,Positive
if you sub to me i sub to you remember to reply,0.0,Neutral,0.0,Neutral
make a trilling stereotyped ,0.0,Negative,-0.296,Negative
Who the fuck needs this feature? Absolute waste of time 🔧💀  ,-0.291,Negative,-0.743,Negative
more all sports golf ,0.0,Neutral,0.0,Neutral
at a he due perfect could have gotten the other shopping cart  next to the stuck ones,0.0,Positive,0.4019,Positive
ty worst ,0.0,Negative,-0.3612,Negative
me now when he raged   oh gash pleasseeeeee fix that ,0.0,Negative,-0.4588,Negative
had in a he like if you see him,0.0,Positive,0.3612,Positive
amazing ,0.0,Positive,0.5859,Positive
you are the best youtubers ever but ty is some😡,-0.173,Positive,0.5267,Positive
😏my favorite couture channel😃,0.4445,Positive,0.6705,Positive
     br    😘😘😘😘😘😘😘😘😘,0.7009999999999998,Positive,0.9726,Positive
that court will cost a lot of money,0.0,Neutral,0.0,Neutral
😂,0.221,Positive,0.4404,Positive
good video,0.0,Positive,0.4404,Positive
the basketball court getting destroyed was painful to watch😣,-0.212,Negative,-0.7269,Negative
every subscribe watched this ll 😂,0.221,Positive,0.4404,Positive
rest in piece basketball court 😢,0.007,Negative,-0.4767,Negative
a he 😏,0.332,Neutral,0.0,Positive
cooking stereotyped ,0.0,Negative,-0.296,Negative
i love this😂😂😂,0.221,Positive,0.9169,Positive
amazing😝,0.423,Positive,0.5859,Positive
like if ty is a eager i will add ,0.0,Positive,0.765,Positive
sending this to my mon😅,0.178,Positive,0.3612,Positive
a he yep that39s me 😂,0.221,Positive,0.6249,Positive
rip avocado ,0.0,Neutral,0.0,Neutral
a he i did not know you could get milk at the cash register 😂,0.221,Positive,0.4404,Positive
you guns really failed this one i was dying the whole time 😂,0.221,Negative,-0.1761,Negative
a he me sad when i cannot get toilet paper but he is ruining it😭😭😭,-0.093,Negative,-0.9517,Negative
the minute a he hata hata😂😂,0.221,Positive,0.7003,Positive
you forgot the  mon it didn39t scan 😂,0.221,Positive,0.4404,Positive
😂,0.221,Positive,0.4404,Positive
nice  ,0.0,Positive,0.4215,Positive
the court😔😔😢😢,-0.0694999999999999,Negative,-0.6808,Negative
the rage monster😦,-0.368,Negative,-0.7184,Negative
i already know that there is a rage monster 😂,0.221,Negative,-0.1779,Negative
mr too many items is the best 😂😂😂,0.221,Positive,0.9169,Positive
is it me or i love these lids😆😆😆😆😆😆,0.409,Positive,0.9531,Positive
you forgot the due who forgot his wallet 😂,0.221,Positive,0.4404,Positive
seems like there is always a rage monster😂,0.221,Positive,0.2023,Positive
😂😂😂😂,0.221,Positive,0.891,Positive
i guess they are getting a new basketball court or warehouse ,0.0,Neutral,0.0,Neutral
i thought that types chatty checkout name said 39cauck39,0.0,Neutral,0.0,Neutral
i love the rage monster 😂,0.221,Positive,0.5423,Positive
a he item assuming you guns are doing the basketball court 😅 great video up,0.178,Positive,0.765,Positive
why would you destroy the court😔😭,-0.1195,Negative,-0.743,Negative
how much was the bottom😂,0.221,Positive,0.4404,Positive
yes the first one is totally me and like all the other ones messrs,0.0,Positive,0.6666,Positive
cart probe has happened to all of us😂,0.221,Positive,0.4404,Positive
how much did it cost to fix that court ,0.0,Neutral,0.0,Neutral
😀 sad,0.568,Negative,-0.1531,Positive
i love that there is always a rage monster 😡 he is soon funny,-0.173,Positive,0.5423,Positive
soccer stereotyped😁,0.449,Positive,0.2023,Positive
i  the rage monster,0.0,Negative,-0.5574,Negative
new steriotipes 😀😀😀😀,0.568,Positive,0.8402,Positive
"Worst fucking customer experience ever, never again ☎️💀  ",-0.1035,Negative,-0.6249,Negative
how many basketball fan were dying of cringe from a he to a he,0.0,Positive,0.3182,Positive
are you guns renovation the court uhhhhm days cool 😎😂,0.356,Positive,0.802,Positive
now that is clot of damage 😂😂,0.221,Positive,0.3818,Positive
😎😎😎😎😎😎😎😎😎 i am lazy,0.491,Positive,0.9735,Positive
probably the most expensive rage monster😂,0.221,Negative,-0.2449,Negative
do  school stereotyped ,0.0,Negative,-0.296,Negative
yessssssssssssss another stereotyped video,0.0,Negative,-0.296,Negative
these are so accurate 😂,0.221,Positive,0.4404,Positive
love  your lids,0.0,Positive,0.6369,Positive
rip the up basketball courtbrbryou39ll be forever in our memory       1 like  1 prayer 🙏,0.417,Positive,0.3612,Positive
rage monster was a little much just a little😂,0.221,Negative,-0.1119,Neutral
hey dukes you waste lot of money,0.0,Negative,-0.4215,Negative
nice video😉😁,0.456,Positive,0.7003,Positive
"Fucking dumbest thing I’ve ever watched, wasted my time 📺💀  ",0.084,Negative,-0.7778,Negative
is your basketball court  still good,0.0,Positive,0.4404,Positive
This sequel ruined everything good about the first movie 🎥🤬  ,0.29,Negative,-0.0516,Positive
military met 😅😁😹😁😅😴,0.2191666666666666,Positive,0.9169,Positive
bridge monster,0.0,Neutral,0.0,Neutral
can you make school stereotyped please😊😊😊😊😊😊😅😅😅😅😅😅😅😅,0.3777142857142857,Positive,0.9943,Positive
i love how he said  quotripeness test i saw this on pinterest39 i feel so called out because i saw how to check an avocado just like that on interest,0.0,Positive,0.8658,Positive
yeeeeeeeeeeeeeeeeeee,0.0,Neutral,0.0,Neutral
rip course ,0.0,Neutral,0.0,Neutral
the aisle blockade me,0.0,Neutral,0.0,Neutral
"Fucking idiots running this company, terrible decisions 💼🤡  ",0.529,Negative,-0.4767,Negative
😃this is john the is 0 years old br like  1 year oldbrfor john,0.557,Positive,0.6124,Positive
Who the hell designed this website? It’s dogshit 🖥️💩  ,-0.116,Negative,-0.6808,Negative
who else thought that express lane bit with ty was hilarious  😂,0.221,Positive,0.802,Positive
school stereotyped 😃😃😃,0.557,Positive,0.6486,Positive
Avoid this store at all costs! Worst service ever 👎🏬  ,-0.188,Negative,-0.7644,Negative
utf is that😂,0.221,Positive,0.4404,Positive
😎😎,0.491,Positive,0.7184,Positive
garrett at a he 😂😂,0.221,Positive,0.7003,Positive
great did guns you all just earned a new subscribe😀,0.568,Positive,0.765,Positive
i liked this stereotyped but ty the court noon😂,0.221,Positive,0.8126,Positive
well item the old guy it is not even on the video,0.0,Positive,0.2732,Positive
he,0.0,Neutral,0.0,Neutral
see you on treading 😁,0.449,Positive,0.4588,Positive
when you are every single one of them 😭,-0.093,Negative,-0.4767,Negative
when you do not have to worry about bags😑😊,0.1665,Positive,0.8129,Positive
i am cart rider and my friend is cart  rider,0.0,Positive,0.4939,Positive
ll this is me  a he,0.0,Neutral,0.0,Neutral
did garrett mean to squeeze the lid out of that avocado 😂😂,0.221,Positive,0.7003,Positive
the rage monster is still my favourite 😂,0.221,Negative,-0.1779,Negative
the cart rider was the most funny😂😂😂,0.221,Positive,0.8977,Positive
i do not like stereotyped tyler always waste money😒😒😒,-0.3739999999999999,Negative,-0.4628,Negative
a he i help you  brbryeah could i get 10 of the smoked wisconsin cheddarbrbr10 pounds  😂,0.221,Positive,0.6808,Positive
the fact he makes the same rage face for the past years😡😅,0.0025,Negative,-0.2732,Negative
he kicked the shopping cart 😂,0.221,Positive,0.4404,Positive
sitting stereotyped ,0.0,Negative,-0.296,Negative
am i the only one who wonders how does the rage monster find his items of destruction,0.0,Negative,-0.8074,Negative
i heard i need a wee😂,0.221,Positive,0.4404,Positive
to be honest they are running out of ideas 😂,0.221,Positive,0.7351,Positive
😱😱😱,0.19,Negative,-0.9468,Negative
hey you guns are at he love it,0.0,Positive,0.6369,Positive
sobbing to anyone who sobs to me 😊,0.644,Neutral,-0.0258,Positive
you all do the best stereotyped please do more so funny 😂😂,0.221,Positive,0.9348,Positive
"This device is absolute dogshit, cheap and unreliable 🔧💀  ",-0.291,Neutral,0.0,Negative
ha ha ha so funny ,0.0,Positive,0.8553,Positive
the cart rider is me 😆,0.409,Positive,0.3612,Positive
he 😍,0.678,Positive,0.4588,Positive
is it just me or is there two guns that look like twins😲,-0.068,Positive,0.6249,Positive
What dumbass wrote this script? It's cringe as hell 📜🤡  ,0.0,Negative,-0.8481,Negative
how39s it similar to indian bachelor shopping scenario 😂😂 brawesome dukes,0.221,Positive,0.7003,Positive
the court 😭😭😭😭😭😭😭😭😭😭😭,-0.0929999999999999,Negative,-0.9862,Negative
the rage monster is always going crazy 😜,0.455,Negative,-0.7184,Negative
the lost guy is so me😂😂,0.221,Positive,0.5423,Positive
the rage monster😀😀,0.568,Positive,0.1027,Positive
i swear this was not made october 2018 i feel like it was made like 8 months ago😵😵😵i feel old,0.085,Neutral,0.0258,Neutral
cody item going to need some more tapebrbrmission failed we will get them next time😂,0.221,Negative,-0.1725,Negative
i am the cart rider😆😆,0.409,Positive,0.6124,Positive
any i work at he 😂,0.221,Positive,0.4404,Positive
me and my mon are the short line analysis minus the radio we just shout 😂😂😂,0.221,Positive,0.8271,Positive
waste of food 😥,0.122,Positive,0.1154,Positive
the age monster was awesome😂😂😂,0.221,Positive,0.9153,Positive
i am a hungry shipper my moss says we are only getting stuff on the list and i am like oooh colonies i am also a produce inspector when i am like can i get a apple mon i always go and try to look for the best one i am also a one trip master literally when ever we get groceries i always carry as much is i can 😂  i am also a cart rider when ever we go to target i ride the cart 😂 i am lastly a freeze freak out person when ever we go to cubs or something when we go in the cold freeze aisle and i am in a t shirt i am just like when can we leave this aisle its freezing 😂,0.221,Positive,0.946,Positive
you all ruined the court you stupid guns😩,-0.368,Negative,-0.8225,Negative
help item sister lonelyjkcan i get 100 sobs from just this comment,0.0,Negative,-0.2023,Negative
a he  a he no no no no 😥😥😥😥😫😫😫😫,-0.0115,Negative,-0.9208,Negative
"Fucking clickbait video, waste of time 📹💀  ",0.111,Negative,-0.4703,Negative
that was the best rage monster yet ,0.0,Positive,0.1531,Positive
no mass 😹,0.141,Positive,0.1779,Positive
the money you spent for the floor was a waste😐😂😕,-0.188,Negative,-0.296,Negative
lmaoooo😂😂😂,0.221,Positive,0.8271,Positive
you guns deserve your popularity been at it for years yet still have entertaining and funny lids ,0.0,Positive,0.836,Positive
org this was amazing may i swear i am at he like 4 times a week 😂,0.221,Positive,0.8402,Positive
i think tyler do not see a cart near to him a he,0.0,Neutral,0.0,Neutral
